InputID,TargetID,Distance,Source
41.74662609-77.20244254---2010,2fd49d09-7cf8-5488-9465-01a2e91d4c96,90.5382875437,Distance_Matrix-UTM18.csv
41.80802311-76.93385347---2010,e6a1d6dd-95a9-53b4-ac81-442c668ecfc5,49.908756993,Distance_Matrix-UTM18.csv
41.95814548-76.93724449---2010,7b960686-9923-5de0-a37d-a863a58afeb0,81.4594052635,Distance_Matrix-UTM18.csv
41.71302986-75.88716827---2010,d06884f6-7dc4-580f-9c44-1cf744ae235d,155.61271606,Distance_Matrix-UTM18.csv
41.67550121-77.34610026---2010,db3dfa30-4215-504f-b8df-0c36a3fb1a28,89.9539455268,Distance_Matrix-UTM18.csv
41.80918412-76.53858478---2010,499560c4-0060-5f96-b53e-4f4a5d246962,137.956446988,Distance_Matrix-UTM18.csv
41.27621014-76.55892737---2005,5596760c-5af6-52fc-a4d5-4ee19a6d5d4e,609.967562094,Distance_Matrix-UTM18.csv
41.96583614-77.03795236---2010,8e27dca5-5821-54af-9488-1d397e8e56e9,97.6904651543,Distance_Matrix-UTM18.csv
41.07364466-77.98226547---2010,23d4eb70-43df-5e02-ab48-d5cf1ceb62e2,120.045182803,Distance_Matrix-UTM18.csv
41.40651415-77.16075304---2008,3f76cc0d-f6be-5b54-9575-d0f43a35bf64,5.4288119422,Distance_Matrix-UTM18.csv
41.71882241-75.89948812---2010,8bcb4350-857f-51c5-a610-18b120ffd6cc,26.8440962053,Distance_Matrix-UTM18.csv
41.59617456-75.57136908---2010,66d21ace-a345-574f-90d3-c4a1ea005454,127.820140463,Distance_Matrix-UTM18.csv
41.68550814-77.60583656---2010,1a181cb7-249c-516d-9e86-d784473b02d1,201.376057881,Distance_Matrix-UTM18.csv
41.73570549-76.79412175---2010,a76d2539-bd87-5200-b156-45893c5c7bd3,117.988990507,Distance_Matrix-UTM18.csv
41.34362004-77.25873391---2010,2191aca5-edd5-55fe-b135-366a041bc74c,29.8685013999,Distance_Matrix-UTM18.csv
41.74722636-76.78557029---2010,1b8231d5-791f-5040-8d16-01a09db60511,168.533144217,Distance_Matrix-UTM18.csv
41.87415958-77.66392847---2008,bd258f1a-d267-5bd7-b51b-555c83de81ce,80.9738106058,Distance_Matrix-UTM18.csv
41.75330359-77.33874642---2008,9b1bd6e1-a530-5f6d-8701-37e3b9d0efd0,27.0144083038,Distance_Matrix-UTM18.csv
41.71830078-77.33260255---2010,88e169d1-c87a-5e4c-acd7-0ac5644b1946,73.642782559,Distance_Matrix-UTM18.csv
41.78918709-77.01830708---2010,58144798-2a82-5261-aa21-ea24c00d91dc,81.0960381876,Distance_Matrix-UTM18.csv
41.83572536-76.96673679---2010,8c1395c2-414a-5e52-bf9c-bb14edf7a0cf,30.2837218252,Distance_Matrix-UTM18.csv
41.2645431-76.62997165---2010,0cdc3925-4712-5651-9524-d392f836e88e,205.997426454,Distance_Matrix-UTM18.csv
41.27480237-76.5659369---2010,5596760c-5af6-52fc-a4d5-4ee19a6d5d4e,82.3193888625,Distance_Matrix-UTM18.csv
41.73021699-75.90843734---2010,9478d435-b6d7-56a1-8489-614aa86700db,43.2759954123,Distance_Matrix-UTM18.csv
41.8660212-76.60972882---2010,f2b7ab2a-db38-5849-a770-391c0eb9ace4,62.5521569107,Distance_Matrix-UTM18.csv
41.68894473-77.52774933---2010,a14c83a0-0986-552a-bc33-8520d640871e,46.6116184671,Distance_Matrix-UTM18.csv
41.74640756-76.78738867---2010,1b8231d5-791f-5040-8d16-01a09db60511,76.4560938721,Distance_Matrix-UTM18.csv
41.75514698-77.36820972---2008,8086291c-cdae-5e2f-aec1-234c6ee889d3,18.6613454844,Distance_Matrix-UTM18.csv
41.7080484-75.87158066---2008,cce434bc-6bc1-5760-970c-1f466951615d,27.5408453506,Distance_Matrix-UTM18.csv
41.37676808-77.13518701---2010,b0f18714-98c1-5d05-9cc0-2e22946bd498,198.723763721,Distance_Matrix-UTM18.csv
41.64598848-76.39235157---2010,d2408df4-d973-511a-b894-6d372a8e6e30,748.928008904,Distance_Matrix-UTM18.csv
41.98886329-76.98512842---2010,fe95b727-f1a1-5022-ab98-2ba079ae0cba,463.204523175,Distance_Matrix-UTM18.csv
41.76817718-76.5344788---2010,77a1d2e9-70ca-5a54-8bf3-a0133c09ce9f,524.252783529,Distance_Matrix-UTM18.csv
41.27081481-77.27903068---2008,0db8e646-f536-5d87-a2f5-41a2460965f9,32.7621410697,Distance_Matrix-UTM18.csv
