id,site_id,wms_url,county,year,location,n_unk_res,n_frk_res,n_oth_res,n_tot_res,crowd_sel,qaqc,p_crd_a,p_s_crd_a
15093,79d50c9e-c524-551c-a19c-7d435a1a06c1,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Wyoming,2008,41.6055366606-76.080943961---2008,0,0,3,3,other,,100,None
15900,63c91bc6-82ed-526c-a58f-691eafe48cd8,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.733291621-76.8137923924---2008,0,0,3,3,other,,100,None
0,be2d9c72-c91f-57a1-8f0c-d0912c83cbec,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Wayne,2008,41.8919483305-75.4101584959---2008,0,0,3,3,other,,100,None
0,54f48c9e-216a-5b78-888d-3a46f6b0a3cf,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Wayne,2008,41.9411907348-75.4675389189---2008,0,0,3,3,other,,100,None
15792,2dcb42c3-d1ef-5ba5-ac22-479a2534c266,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.6447611643-76.3873007658---2008,0,0,3,3,other,,100,None
14222,220fbe88-2551-57c7-b9f6-908b3e149cca,https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0,Susquehanna,2005,41.7082141192-75.9229556298---2005,0,0,3,3,other,,100,None
14156,3c4bde58-d807-503f-b978-5bcbade44e0a,https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0,Sullivan,2005,41.5492916089-76.4954408681---2005,0,0,3,3,other,,100,None
15758,26bf1b19-aa63-5107-9294-7651ce35674e,https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0,Bradford,2005,41.7505242541-76.8458493476---2005,0,0,3,3,other,,100,None
14472,c6c4fc6d-b3ee-5c20-9660-d2b3c2beae3a,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7464726031-75.9519185447---2008,0,0,3,3,other,,100,None
14472,c6c4fc6d-b3ee-5c20-9660-d2b3c2beae3a,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7469106204-75.947325633---2008,0,0,3,3,other,,100,None
14541,f7a2977d-2e69-50fe-86a2-801224c4f71a,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.9211630139-75.8192578409---2008,0,0,3,3,other,,100,None
14277,4704e898-e2f2-54f3-b894-8b73473fb0be,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.8935200008-75.9399348002---2008,0,0,3,3,other,,100,None
14511,d8020035-bfe0-5c90-8ab2-46807f3fbc1d,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7394561436-76.0570735865---2008,0,0,3,3,other,,100,None
