county,latitude,longitude,siteID,url,year
Wyoming,41.5968,-76.1623,c85c41c0-cf5c-5457-9076-4e85905bdd6a,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2008/2008_X-076.1623_Y0041.5968.png,2008
Bradford,41.9427,-76.1623,baf56fdd-26c5-5a26-98e9-6abaf25b4e2f,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.1623_Y0041.9427.png,2005
Bradford,41.9669,-76.1463,a4af2b2e-6d9b-5bff-b0b7-50023cb49932,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.1463_Y0041.9669.png,2008
Wyoming,41.627,-76.1774,9c795815-f104-52af-ab2d-280b708beaa2,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2010/2010_X-076.1774_Y0041.6270.png,2010
Wyoming,41.6338,-76.1611,6c7c29bb-eec1-530a-a3b0-455469c2eadc,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2010/2010_X-076.1611_Y0041.6338.png,2010
Bradford,41.7207,-76.1605,d370159c-4096-54e7-8c10-e62a8c2b63cf,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.1605_Y0041.7207.png,2008
Bradford,41.6959,-76.1595,1ddfc164-9451-50b3-8a96-dd934dddf6f1,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.1595_Y0041.6959.png,2005
Wyoming,41.5968,-76.1523,1bb171ad-c74f-5f9e-b71b-5bfe57bb4d7d,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2010/2010_X-076.1523_Y0041.5968.png,2010
Bradford,41.9275,-76.1506,1a8fe3e6-442f-59d6-98ff-e2c1403034a7,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.1506_Y0041.9275.png,2008
Bradford,41.6669,-76.149,75f4696f-3c6f-56fc-ba19-8214514f6c58,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.1490_Y0041.6669.png,2005
Bradford,41.7174,-76.1475,27370b2d-ec76-5ad4-b703-375588f3ed7d,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1475_Y0041.7174.png,2010
Wyoming,41.5979,-76.1432,392ce591-9156-57ee-b7cd-08175eb60fe7,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2005/2005_X-076.1432_Y0041.5979.png,2005
Wyoming,41.5657,-76.143,0ddb750c-a319-5b67-8dac-3f70b94d6c07,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2010/2010_X-076.1430_Y0041.5657.png,2010
Bradford,41.921,-76.1717,6526d9a3-55c4-59b2-9a46-1e74eca854e4,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1717_Y0041.9210.png,2010
Bradford,41.7854,-76.1652,2134f52b-fbdf-5881-bd5a-b86d834b1098,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.1652_Y0041.7854.png,2005
Wyoming,41.5968,-76.1623,c85c41c0-cf5c-5457-9076-4e85905bdd6a,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2010/2010_X-076.1623_Y0041.5968.png,2010
Bradford,41.9427,-76.1623,baf56fdd-26c5-5a26-98e9-6abaf25b4e2f,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.1623_Y0041.9427.png,2008
Bradford,41.8877,-76.1609,15484f76-e345-583a-ae17-01ad23fc5daf,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.1609_Y0041.8877.png,2005
Bradford,41.7997,-76.1289,d1c660c8-5ada-563c-922d-1d369b2b7e2f,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.1289_Y0041.7997.png,2005
Bradford,41.7191,-76.1277,c355f689-9ae8-52bf-a92f-8251e1b5a2a9,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1277_Y0041.7191.png,2010
Bradford,41.6839,-76.1215,caafb608-c48f-55b9-819a-3edc83e02dd8,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.1215_Y0041.6839.png,2008
Wyoming,41.5958,-76.1203,4c388459-045f-5c2b-ae40-24b67b1cfffb,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2005/2005_X-076.1203_Y0041.5958.png,2005
Bradford,41.9275,-76.1506,1a8fe3e6-442f-59d6-98ff-e2c1403034a7,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1506_Y0041.9275.png,2010
Wyoming,41.6338,-76.1176,52dd93a5-02f3-5b88-8faa-ed51513016d3,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2010/2010_X-076.1176_Y0041.6338.png,2010
Wyoming,41.5621,-76.1115,0b3bd7b5-d401-548e-8203-aa6b63944b68,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2008/2008_X-076.1115_Y0041.5621.png,2008
Wyoming,41.5656,-76.1009,3d105ef4-a443-5b60-b71b-d7c7f9eede5c,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2005/2005_X-076.1009_Y0041.5656.png,2005
Wyoming,41.6386,-76.0987,06f6f6c5-a79f-532b-9b31-d1fad50b1061,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2010/2010_X-076.0987_Y0041.6386.png,2010
Wyoming,41.5794,-76.0764,119ca48d-fd4b-5715-97b0-0d310182a419,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2008/2008_X-076.0764_Y0041.5794.png,2008
Bradford,41.8617,-76.1507,e537067b-9b58-5792-bfc4-5af2e4eb63eb,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.1507_Y0041.8617.png,2008
Bradford,41.7695,-76.1374,8a983445-25a8-5c17-8c03-f6bd359b8903,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.1374_Y0041.7695.png,2008
Bradford,41.7525,-76.1322,db99342c-a7e6-564b-9cde-c35096a0c89f,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.1322_Y0041.7525.png,2005
Bradford,41.6669,-76.149,75f4696f-3c6f-56fc-ba19-8214514f6c58,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1490_Y0041.6669.png,2010
Bradford,41.7174,-76.1475,27370b2d-ec76-5ad4-b703-375588f3ed7d,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.1475_Y0041.7174.png,2005
Bradford,41.6907,-76.1474,8cd5e45f-0326-53f0-add4-907f4c2e64ed,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1474_Y0041.6907.png,2010
Bradford,41.7667,-76.1434,4e5e808e-0ab3-508f-a9e9-e9522f7eb4b4,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.1434_Y0041.7667.png,2005
Bradford,41.7667,-76.1434,4e5e808e-0ab3-508f-a9e9-e9522f7eb4b4,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.1434_Y0041.7667.png,2008
Wyoming,41.5979,-76.1432,392ce591-9156-57ee-b7cd-08175eb60fe7,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2010/2010_X-076.1432_Y0041.5979.png,2010
Wyoming,41.5657,-76.143,0ddb750c-a319-5b67-8dac-3f70b94d6c07,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2005/2005_X-076.1430_Y0041.5657.png,2005
Bradford,41.7841,-76.143,cc392e4e-6c44-5d37-863b-94a5ae5e883e,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.1430_Y0041.7841.png,2008
Bradford,41.7841,-76.143,cc392e4e-6c44-5d37-863b-94a5ae5e883e,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1430_Y0041.7841.png,2010
Bradford,41.8347,-76.1409,b72a5e92-b1b1-5a87-993f-5909a9fd6c3c,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.1409_Y0041.8347.png,2005
Bradford,41.7695,-76.1374,8a983445-25a8-5c17-8c03-f6bd359b8903,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1374_Y0041.7695.png,2010
Bradford,41.7525,-76.1322,db99342c-a7e6-564b-9cde-c35096a0c89f,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.1322_Y0041.7525.png,2008
Wyoming,41.6321,-76.0634,59f10a9b-498d-57d6-bf59-910f41421773,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2005/2005_X-076.0634_Y0041.6321.png,2005
Bradford,41.7165,-76.1357,5b4538e6-f94d-5936-8943-9658a3f94256,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.1357_Y0041.7165.png,2005
Bradford,41.7525,-76.1322,db99342c-a7e6-564b-9cde-c35096a0c89f,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1322_Y0041.7525.png,2010
Bradford,41.7997,-76.1289,d1c660c8-5ada-563c-922d-1d369b2b7e2f,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2008/2008_X-076.1289_Y0041.7997.png,2008
Bradford,41.6655,-76.1266,057d342c-b423-510e-83a4-a341dc495442,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2005/2005_X-076.1266_Y0041.6655.png,2005
Bradford,41.6839,-76.1215,caafb608-c48f-55b9-819a-3edc83e02dd8,https://s3.amazonaws.com/FrackFinder/Tadpole/Bradford/2010/2010_X-076.1215_Y0041.6839.png,2010
Wyoming,41.5958,-76.1203,4c388459-045f-5c2b-ae40-24b67b1cfffb,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2008/2008_X-076.1203_Y0041.5958.png,2008
Wyoming,41.5312,-76.1156,302454a6-08cb-547a-936f-c085f9a1d696,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2005/2005_X-076.1156_Y0041.5312.png,2005
Wyoming,41.5621,-76.1115,0b3bd7b5-d401-548e-8203-aa6b63944b68,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2010/2010_X-076.1115_Y0041.5621.png,2010
Wyoming,41.5656,-76.1009,3d105ef4-a443-5b60-b71b-d7c7f9eede5c,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2008/2008_X-076.1009_Y0041.5656.png,2008
Wyoming,41.6057,-76.0797,79d50c9e-c524-551c-a19c-7d435a1a06c1,https://s3.amazonaws.com/FrackFinder/Tadpole/Wyoming/2005/2005_X-076.0797_Y0041.6057.png,2005
