InputID,TargetID,Distance,Source
41.58360731-78.81895538---2010,afa5f75a-9a8f-5ba4-b46d-49d1066f0695,204.389444431,Distance_Matrix-UTM17.csv
40.83337387-79.68494245---2010,34fe38dc-7a70-560f-a0d6-608d8cf601c8,111.847558295,Distance_Matrix-UTM17.csv
40.01159315-79.87967618---2010,808304fe-7469-5f31-8fab-87ead724562f,41.8691927415,Distance_Matrix-UTM17.csv
40.01098303-79.63145381---2010,06c4a8a2-37b3-5548-bc75-9e6446120a4e,30.4066846354,Distance_Matrix-UTM17.csv
41.1043042-78.971872---2010,e2301e2d-8aee-51c8-a388-7fb4437e5f1f,24.8190295871,Distance_Matrix-UTM17.csv
40.76564499-79.74295104---2010,6729ad57-157a-5157-9d92-f76be15b7101,105.330028552,Distance_Matrix-UTM17.csv
39.91884097-79.84224375---2005,00affae4-fefe-5c34-90ec-00ee252fa839,362.122909384,Distance_Matrix-UTM17.csv
40.35777787-78.56258018---2010,f2707d2a-2e47-5103-8771-4744815f9798,577.254916156,Distance_Matrix-UTM17.csv
39.95037513-79.97620963---2008,9d7c4d1f-a371-5dcb-affd-b50fae607baf,664.455526842,Distance_Matrix-UTM17.csv
39.77553181-80.00163288---2010,d18a319e-b4b9-58a2-994a-22c93ada784c,112.3859104,Distance_Matrix-UTM17.csv
40.78179316-80.03568687---2010,d312d9db-8a08-5fdb-8dd5-72be3a0f5ded,34.1355460382,Distance_Matrix-UTM17.csv
40.26508587-80.46267297---2010,042d0de7-9ccd-538e-bbc4-d8bc11971d68,296.060769526,Distance_Matrix-UTM17.csv
39.93150681-79.8729887---2008,db2b3778-0a73-5f44-a70c-63d8470f011a,71.5678240535,Distance_Matrix-UTM17.csv
40.0292692-80.15319733---2010,b13209ec-a904-51ca-bf32-5c123057bace,190.903558804,Distance_Matrix-UTM17.csv
39.86078565-79.97009651---2008,ae664fe9-676d-5e72-8284-03db14bed30d,597.98921349,Distance_Matrix-UTM17.csv
40.84682156-79.83758914---2008,6f92359e-4e2f-5a14-9da7-5f4afff96e05,89.9288283304,Distance_Matrix-UTM17.csv
40.16218266-79.34401159---2010,381d7a29-8346-56bb-aa08-3a25bdbde244,28.8999704821,Distance_Matrix-UTM17.csv
39.9879426-80.29850872---2010,c90beeb2-2990-5a3e-a374-619abd541f78,661.350231629,Distance_Matrix-UTM17.csv
39.90981323-79.96902209---2008,656f426a-aa74-5af7-835c-58515a783b47,42.8625201065,Distance_Matrix-UTM17.csv
41.21502109-78.71157768---2010,a166149c-2b85-5c93-82b6-cee23e78395a,29.1173772794,Distance_Matrix-UTM17.csv
39.88369038-80.04938174---2010,aac51b26-e563-53db-bb2e-20e3193fd799,35.0094023405,Distance_Matrix-UTM17.csv
40.3052867-79.1764693---2010,c558498a-eb78-5cb5-8540-a4e2b57c6546,585.579101153,Distance_Matrix-UTM17.csv
39.91401964-79.95267561---2010,60f48cf5-3316-5f2d-be69-e4b581af5bc0,39.6996438161,Distance_Matrix-UTM17.csv
41.28582711-79.4881212---2010,57f4d505-7a40-5ede-820b-0034ad814fb0,20.3338599973,Distance_Matrix-UTM17.csv
40.67606281-79.75023272---2010,3e906506-59e3-528f-aad5-7319f2248109,141.326047559,Distance_Matrix-UTM17.csv
40.26393583-80.46363592---2010,042d0de7-9ccd-538e-bbc4-d8bc11971d68,159.806221294,Distance_Matrix-UTM17.csv
40.28127856-80.22541597---2010,57cd674e-438d-516e-a4ec-ef25c8b82363,292.676405172,Distance_Matrix-UTM17.csv
39.99987413-79.6615197---2010,993532d7-e57f-58d1-93b0-8c63cea41c5e,51.8807829264,Distance_Matrix-UTM17.csv
40.19646319-79.71448542---2008,6ca2b615-a5ec-5365-a740-c2d5500b3952,40.7277176016,Distance_Matrix-UTM17.csv
40.3677617-79.32892643---2010,0c2420d9-5eac-5b46-b7fa-d476cdae2e3c,30.7873653791,Distance_Matrix-UTM17.csv
40.79952053-79.58533269---2010,3b542c4a-a592-5842-a3cf-2433c74d1784,509.536236128,Distance_Matrix-UTM17.csv
40.30360347-79.21595582---2010,dfcc5ca9-c97f-59a6-82c5-b263cd9bc11a,71.6771433851,Distance_Matrix-UTM17.csv
40.82880022-79.6736429---2010,a722f5b7-a159-5598-8a8b-dd3bac6b396d,577.125459752,Distance_Matrix-UTM17.csv
40.3297061-80.28385841---2008,3d53f2cf-a0dd-5bc4-8bb0-6030364d9883,189.316904895,Distance_Matrix-UTM17.csv
39.82557144-80.49535313---2010,eac0bb9d-9edf-5702-a82c-0eccf021e2a8,122.755932294,Distance_Matrix-UTM17.csv
40.24621048-79.74858738---2008,404dccfe-2b3b-5a57-8cc3-15503cd7307b,59.122166361,Distance_Matrix-UTM17.csv
40.85710199-79.5098526---2008,6bfc6315-ad37-58f1-a2d0-caed863df0fe,24.9329588652,Distance_Matrix-UTM17.csv
39.85643314-79.53683559---2010,0c656faf-4504-5015-ace0-2209a40f1a85,34.1139877918,Distance_Matrix-UTM17.csv
41.41646588-78.27177707---2010,53529efd-283c-54c2-8dff-97d75efa4999,35.987005764,Distance_Matrix-UTM17.csv
39.8886006-80.29406806---2010,1704ae23-18a9-52de-880f-c531f654041c,84.2677997039,Distance_Matrix-UTM17.csv
40.82378855-79.67765007---2010,c61576bc-2106-59ff-ac97-107d5b62acb3,288.265938354,Distance_Matrix-UTM17.csv
41.84650485-78.15630847---2010,3718b3b8-3bfa-5e81-b743-e27ab156cedd,34.6894088208,Distance_Matrix-UTM17.csv
40.79430439-79.99810938---2005,1518566b-6072-5132-bc3e-7d423cb4195c,597.405181125,Distance_Matrix-UTM17.csv
41.72081253-78.37490478---2010,edafd51c-d6e6-50d1-b21f-14ff8e0ed3d6,170.095037064,Distance_Matrix-UTM17.csv
40.87296879-79.55738098---2010,7fb016ca-1642-5f8f-ba4c-57350d81dfed,557.737492498,Distance_Matrix-UTM17.csv
40.18865381-79.93686105---2010,b0416085-5f11-5867-b5a6-22d232d6f3a4,94.2111910997,Distance_Matrix-UTM17.csv
41.63832903-78.36884546---2010,3bbbe962-176c-58de-87c8-e42d9bb19c0b,150.710305728,Distance_Matrix-UTM17.csv
40.2934806-79.6351647---2008,203200a4-31b9-5cff-b804-92c8e8b9c5c6,357.355596984,Distance_Matrix-UTM17.csv
