id,site_id,wms_url,county,year,location,n_unk_res,n_frk_res,n_oth_res,n_tot_res,crowd_sel,qaqc,p_crd_a,p_s_crd_a
0,fdba0d43-1d3f-55a4-8102-be5345c1e5cf,https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0,Susquehanna,2010,41.72173929-75.88383415---2010,0,0,3,3,other,,100,None
0,94dcdf5d-a6ce-574f-9059-2ebeb97b8c74,https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0,Susquehanna,2010,41.7122041-75.59429318---2010,0,0,3,3,other,,100,None
0,860b97b8-6e3d-5861-bea7-ca37e2d96b02,https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0,Susquehanna,2010,41.71275114-75.91279261---2010,0,0,3,3,other,,100,None
0,ac6963f5-d902-542f-b1d4-05357c9e59e9,https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0,Susquehanna,2010,41.65555575-75.96035697---2010,1,2,0,3,fracking,,66,None
0,54f48c9e-216a-5b78-888d-3a46f6b0a3cf,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Wayne,2008,41.94223488-75.47395583---2008,0,0,3,3,other,,100,None
0,54f48c9e-216a-5b78-888d-3a46f6b0a3cf,https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0,Wayne,2005,41.93388554-75.46855058---2005,0,0,3,3,other,,100,None
0,be2d9c72-c91f-57a1-8f0c-d0912c83cbec,https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0,Wayne,2010,41.89382935-75.41132913---2010,1,1,1,3,fracking|unknown|other,,-1,33|33|33
0,be2d9c72-c91f-57a1-8f0c-d0912c83cbec,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Wayne,2008,41.89148534-75.40831671---2008,0,0,3,3,other,,100,None
0,79d50c9e-c524-551c-a19c-7d435a1a06c1,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Wyoming,2008,41.60189998-76.08338275---2008,0,0,3,3,other,,100,None
0,86834d28-b2e1-532f-af08-515f46b3ccbe,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Wyoming,2008,41.57842407-76.02902085---2008,0,0,3,3,other,,100,None
0,392ce591-9156-57ee-b7cd-08175eb60fe7,https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0,Wyoming,2010,41.59824276-76.14339261---2010,0,0,3,3,other,,100,None
0,66bd0247-4b42-536b-94f7-a8d6072ffb98,https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0,Wyoming,2005,41.57894581-76.03868335---2005,2,0,1,3,unknown,,66,None
0,03ca309a-5b09-5f27-83d9-f6ffad0ef52b,https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0,Susquehanna,2010,41.71458941-76.04981658---2010,0,0,3,3,other,,100,None
0,6d9bdfd1-d043-54e0-bdc9-39bbce3d2fdd,https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0,Susquehanna,2010,41.76635523-76.10476595---2010,0,3,0,3,fracking,,100,None
0,03ca309a-5b09-5f27-83d9-f6ffad0ef52b,https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0,Susquehanna,2010,41.71486416-76.05410661---2010,0,0,3,3,other,,100,None
0,8bcb4350-857f-51c5-a610-18b120ffd6cc,https://mapsengine.google.com/06136759344167181854-06191489742681286724-4/wms/?version=1.3.0,Susquehanna,2010,41.72101226-75.89442076---2010,0,0,3,3,other,,100,None
0,be2d9c72-c91f-57a1-8f0c-d0912c83cbec,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Wayne,2008,41.89135088-75.40478533---2008,0,0,3,3,other,,100,None
0,54f48c9e-216a-5b78-888d-3a46f6b0a3cf,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Wayne,2008,41.9338524-75.46853027---2008,0,0,3,3,other,,100,None
0,54f48c9e-216a-5b78-888d-3a46f6b0a3cf,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Wayne,2008,41.94119073-75.46753892---2008,0,0,3,3,other,,100,None
0,be2d9c72-c91f-57a1-8f0c-d0912c83cbec,https://mapsengine.google.com/06136759344167181854-15960346301379896183-4/wms/?version=1.3.0,Wayne,2005,41.89029862-75.4111441---2005,0,0,3,3,other,,100,None
