WKT,X,Y,longitude,latitude,county
"POINT (-76.650254809556046 41.246734664603302)",-76.6502540000,41.2467346000,-76.6502540000,41.2467346000,Lycoming
"POINT (-76.871705500000019 41.9030355)",-76.8717050000,41.9030355000,-76.8717050000,41.9030355000,Bradford
"POINT (-76.871799499999966 41.902661)",-76.8717990000,41.9026610000,-76.8717990000,41.9026610000,Bradford
"POINT (-76.534469 41.767947)",-76.5344690000,41.7679470000,-76.5344690000,41.7679470000,Bradford
"POINT (-76.468661264991596 41.605254112232956)",-76.4686610000,41.6052541000,-76.4686610000,41.6052541000,Bradford
"POINT (-77.153346823966984 41.36903022510095)",-77.1533460000,41.3690302000,-77.1533460000,41.3690302000,Lycoming
"POINT (-76.823512223198989 41.63400821178471)",-76.8235120000,41.6340082000,-76.8235120000,41.6340082000,Bradford
"POINT (-76.502368 41.737216499999988)",-76.5023680000,41.7372165000,-76.5023680000,41.7372165000,Bradford
"POINT (-76.600956898623792 41.23717439206554)",-76.6009560000,41.2371743000,-76.6009560000,41.2371743000,Lycoming
"POINT (-76.601643400924985 41.237238980846421)",-76.6016430000,41.2372389000,-76.6016430000,41.2372389000,Lycoming
"POINT (-77.221088045717579 41.29431189508815)",-77.2210880000,41.2943118000,-77.2210880000,41.2943118000,Lycoming
"POINT (-76.895203805300952 41.969889908540594)",-76.8952030000,41.9698899000,-76.8952030000,41.9698899000,Bradford
"POINT (-76.543738394312854 41.768392098898424)",-76.5437380000,41.7683920000,-76.5437380000,41.7683920000,Bradford
"POINT (-76.657126051084759 41.684082195453286)",-76.6571260000,41.6840821000,-76.6571260000,41.6840821000,Bradford
"POINT (-77.311354144115853 41.357725793854435)",-77.3113540000,41.3577257000,-77.3113540000,41.3577257000,Lycoming
"POINT (-76.893835750379864 41.838416571117406)",-76.8938350000,41.8384165000,-76.8938350000,41.8384165000,Bradford
"POINT (-76.703355 41.856275)",-76.7033550000,41.8562750000,-76.7033550000,41.8562750000,Bradford
"POINT (-76.80426491110822 41.773358447499504)",-76.8042640000,41.7733584000,-76.8042640000,41.7733584000,Bradford
"POINT (-76.803421965146725 41.772321240969951)",-76.8034210000,41.7723212000,-76.8034210000,41.7723212000,Bradford
"POINT (-76.415890138234957 41.687324721201051)",-76.4158900000,41.6873247000,-76.4158900000,41.6873247000,Bradford
"POINT (-76.695066 41.765069049915333)",-76.6950660000,41.7650690000,-76.6950660000,41.7650690000,Bradford
"POINT (-76.644345 41.867367)",-76.6443450000,41.8673670000,-76.6443450000,41.8673670000,Bradford
"POINT (-76.747635349187107 41.693648433476554)",-76.7476350000,41.6936484000,-76.7476350000,41.6936484000,Bradford
"POINT (-76.590584 41.858905)",-76.5905840000,41.8589050000,-76.5905840000,41.8589050000,Bradford
"POINT (-76.463741502178351 41.974544217978348)",-76.4637410000,41.9745442000,-76.4637410000,41.9745442000,Bradford
"POINT (-76.381632733147825 41.678361412020813)",-76.3816320000,41.6783614000,-76.3816320000,41.6783614000,Bradford
"POINT (-76.420360735156535 41.714650801622071)",-76.4203600000,41.7146508000,-76.4203600000,41.7146508000,Bradford
"POINT (-76.304953 41.653798)",-76.3049530000,41.6537980000,-76.3049530000,41.6537980000,Bradford
"POINT (-76.401866828314525 41.553566753147372)",-76.4018660000,41.5535667000,-76.4018660000,41.5535667000,Sullivan
"POINT (-76.368831688778059 41.606780041813344)",-76.3688310000,41.6067800000,-76.3688310000,41.6067800000,Bradford
"POINT (-76.360163440593922 41.782268412551339)",-76.3601630000,41.7822684000,-76.3601630000,41.7822684000,Bradford
"POINT (-76.62507 41.56912)",-76.6250700000,41.5691200000,-76.6250700000,41.5691200000,Sullivan
"POINT (-79.509728 40.772956)",-79.5097280000,40.7729560000,-79.5097280000,40.7729560000,Armstrong
"POINT (-79.42069221816169 40.885774928288882)",-79.4206920000,40.8857749000,-79.4206920000,40.8857749000,Armstrong
"POINT (-79.421611749527017 40.888858768962415)",-79.4216110000,40.8888587000,-79.4216110000,40.8888587000,Armstrong
"POINT (-80.061414929384426 39.997563659564207)",-80.0614140000,39.9975636000,-80.0614140000,39.9975636000,Greene
"POINT (-80.360295132962108 39.980695428196178)",-80.3602950000,39.9806954000,-80.3602950000,39.9806954000,Greene
"POINT (-80.038259675385888 39.863792370675327)",-80.0382590000,39.8637923000,-80.0382590000,39.8637923000,Greene
"POINT (-80.038239879434144 39.864493988365012)",-80.0382390000,39.8644939000,-80.0382390000,39.8644939000,Greene
"POINT (-80.017387469277708 39.890598697092365)",-80.0173870000,39.8905986000,-80.0173870000,39.8905986000,Greene
"POINT (-80.016583245622215 39.891015276655359)",-80.0165830000,39.8910152000,-80.0165830000,39.8910152000,Greene
"POINT (-80.015875280366828 39.891454904703039)",-80.0158750000,39.8914549000,-80.0158750000,39.8914549000,Greene
"POINT (-78.531025523128591 41.089425239213561)",-78.5310250000,41.0894252000,-78.5310250000,41.0894252000,Clearfield
"POINT (-78.78244277989991 41.195427478232851)",-78.7824420000,41.1954274000,-78.7824420000,41.1954274000,Jefferson
"POINT (-78.783893621179075 41.196053766117878)",-78.7838930000,41.1960537000,-78.7838930000,41.1960537000,Jefferson
"POINT (-79.597978989617033 40.811237203287909)",-79.5979780000,40.8112372000,-79.5979780000,40.8112372000,Armstrong
"POINT (-79.519799237278022 40.878001547060514)",-79.5197990000,40.8780015000,-79.5197990000,40.8780015000,Armstrong
"POINT (-79.474139637702706 40.888970927800564)",-79.4741390000,40.8889709000,-79.4741390000,40.8889709000,Armstrong
"POINT (-80.32068076412348 39.828549893075262)",-80.3206800000,39.8285498000,-80.3206800000,39.8285498000,Greene
"POINT (-80.314906064738494 39.931885562663567)",-80.3149060000,39.9318855000,-80.3149060000,39.9318855000,Greene
"POINT (-80.051805647657218 39.863464317309564)",-80.0518050000,39.8634643000,-80.0518050000,39.8634643000,Greene
"POINT (-80.036219107282335 39.819210297818216)",-80.0362190000,39.8192102000,-80.0362190000,39.8192102000,Greene
